Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (*)
10,-0.05530291478306814,19.16454665746591,-0.1525726087356176
10.58424294923851,-0.04392085097595298,19.15514701718743,-0.4063990905912362
11.2026198808505,-0.04597505224275732,19.15632592405577,-0.3508597229032091
11.85712504868911,-0.06269287664245628,19.17308522678144,-0.273269273415643
12.54986921948269,-0.04592052952737014,19.15458550633196,-0.3576614183445912
13.28308648001751,-0.0639923794340523,19.1733890158827,-0.4603465645737401
14.05914144202507,-0.04467916245096611,19.15326205778393,-0.3932227131314363
14.88053686801006,-0.06504295334478266,19.17336440295794,-0.4213756507787849
15.74992174261191,-0.07207348383238717,19.18033619703059,-0.5286997034544356
16.67009981552986,-0.06695347659008828,19.17377708296393,-0.4680713387192696
17.64403864356239,-0.05905802877444483,19.16598869139198,-0.4736244926351674
18.6748791609217,-0.05364106384229489,19.16104336209283,-0.5481407154806561
19.76594580868665,-0.06250051053730708,19.16653538255392,-0.6376110499435299
20.92075725606221,-0.05338520813442003,19.1592127886118,-0.5148107105364659
22.14303774802068,-0.05613140413656458,19.16175195824417,-0.5415898972409963
23.436729115921,-0.06978847950707762,19.17562989742744,-0.6445800202997312
24.80600348983997,-0.06775176712050258,19.17242587484295,-0.704837964619685
26.25527675361243,-0.06072911220210715,19.16214873170575,-0.7933362440691383
27.78922278597281,-0.05076480607201223,19.15651957199638,-0.835980323407
29.41278853372508,-0.06142795639322799,19.16581619943564,-0.8702641336154215
31.13120996555226,-0.06386296452708892,19.1686458749991,-0.831344652844443
32.95002895791605,-0.06907344917765479,19.17255468293259,-0.9512226680551947
34.87511116750276,-0.03979485684057792,19.14424055925473,-0.9990021308622943
36.91266494785499,-0.05766860817442779,19.16350185497708,-0.9753462986647889
39.06926137119375,-0.0734499333445687,19.17637201988422,-1.049529656862489
41.35185542000135,-0.06163557683919585,19.16298388387041,-1.16545313688728
43.76780841670799,-0.05923592986879302,19.16254320032513,-1.279913792375286
46.3249117638163,-0.04757062234249429,19.14729065000728,-1.377821723806392
49.03141207102686,-0.05624515754567436,19.15595716749862,-1.396674997221851
51.8960377503974,-0.06672450065605248,19.16828997756962,-1.389703265229684
54.92802716530586,-0.05473280417155834,19.15535963337049,-1.512475001025493
58.13715842399698,-0.06930136959720762,19.16609406990235,-1.545781812191578
61.53378091379528,-0.05822531015636631,19.15820280126674,-1.817485853633372
65.12884867768241,-0.07034556062753727,19.1656869142981,-1.92018123044998
68.93395574087819,-0.0486461664353743,19.1447844929843,-1.968334235291451
72.96137350135093,-0.0585874531160533,19.15382591800334,-2.030204181430747
77.22409030484302,-0.06341660039338898,19.15793906684926,-2.117838623899053
81.73585333203927,-0.03321876816546403,19.12909534212978,-2.318069069831481
86.51121293296302,-0.07116861109254263,19.16592234717105,-2.52944410256009
91.56556955157842,-0.06891834091561594,19.16293817060867,-2.561304081407457
96.91522339193011,-0.06116997802645436,19.15383838980412,-2.679700720170755
102.5774269859912,-0.04334887522188008,19.13431498352111,-2.868220375729038
108.5704408327505,-0.06926767450341467,19.15900830963059,-3.099216866661777
114.9135922879754,-0.06429902399979306,19.15314206726818,-3.270112880153789
121.6273378945674,-0.05646014679244221,19.14236571681833,-3.451133438224051
128.7333293545225,-0.0628758278194796,19.14869487329349,-3.558496881788621
136.2544833552602,-0.06874257088844282,19.15217455470907,-3.955733072657836
144.2150554755048,-0.05522593525067766,19.13742105080097,-4.095181167994973
152.6407184090652,-0.06498037715891225,19.14585764602704,-4.236112936901606
161.5586447587848,-0.05465420992448989,19.12579405898351,-4.495236119087391
170.9975946676697,-0.05989178296697591,19.1326253139349,-4.902042606431905
180.9880085698029,-0.05300090567321079,19.12333643717969,-5.184327168874667
191.5621053601653,-0.06785398450296085,19.1334634191427,-5.349210249539539
202.7539862999612,-0.06157954863823439,19.12021007855439,-5.727016440187199
214.5997449925365,-0.04520488399045969,19.10025053623419,-6.0135745320175
227.1375837845639,-0.04961526669296363,19.10816861163119,-6.367959337326701
240.4079369678839,-0.0765876623667939,19.12390591653072,-6.79447773073781
254.4536011793301,-0.05011573121890349,19.09135397884684,-7.185121949819091
269.3198734190672,-0.07356549720447599,19.10746508325838,-7.684595057840994
285.0546971325567,-0.05464518953269025,19.08387001238471,-7.999994688075347
301.7088168272581,-0.0537460524114288,19.07419930151993,-8.460341183529284
319.3359417227003,-0.047617064639753,19.06292324664265,-8.887303534503928
337.9929189616926,-0.05471800006162708,19.05875275040961,-9.478781575022538
357.7399169412834,-0.05948253033587391,19.04951036356355,-9.927125601167432
378.6406193546952,-0.05987047578117148,19.0399692789942,-10.48345184726175
400.7624305700231,-0.06467981340355122,19.02703677469889,-11.33033118360764
424.1766930080449,-0.05831062605090018,19.00811884970522,-11.88241538610728
448.9589172201711,-0.0769464604559436,19.00748428345489,-12.48346101201385
475.1890254085353,-0.043491136399157,18.95644094008364,-13.16502036092668
502.9516091735803,-0.05791950802375039,18.94651880871339,-13.95695960736948
532.3362023203628,-0.06939669466389566,18.93535547967328,-14.7846219843159
563.4375696033708,-0.05257357662430535,18.89612309822218,-15.57263608449658
596.3560123410552,-0.03826664318501604,18.85660662242935,-16.44190477152986
631.1976918856806,-0.05592531408380148,18.84633699556055,-17.39082030381322
668.0749719916639,-0.08488201129195927,18.84029767929548,-18.44248556235279
707.1067811865476,-0.08055375781345891,18.79083523579333,-19.39324893028337
748.4189963132453,-0.06313093202807951,18.71591048361646,-20.57204828361772
792.1448484804624,-0.06405811435724013,18.65741330407389,-21.52916275542837
838.4253527304941,-0.01651487803984462,18.57173213946387,-22.72555696940879
887.4097628100533,-0.07521187487353476,18.57566922817146,-23.89024405616411
939.2560525107727,-0.05766715189776836,18.4829084249676,-25.05722387256593
994.1314251316742,-0.03455004790293507,18.40347621189443,-26.52375998460298
1052.212852706634,-0.05959826933238957,18.33677457377381,-27.93946608828274
1113.687646735833,-0.05907565424515242,18.24979732986502,-29.38832548425377
1178.754062261777,-0.05099165731579292,18.15806130224036,-30.95895998975324
1247.621937238045,-0.04794332776015571,18.05033532725032,-32.36419183694034
1320.513369252708,-0.02152926067930346,17.89910339694777,-33.68062381873392
1397.663431788814,-0.01404916165310417,17.77360962562933,-35.51376404485775
1479.320932331926,-0.03081397786964798,17.64779852604503,-37.465025514385
1565.749214769513,-0.07118553571277905,17.52865135000174,-39.05560384542189
1657.227008669993,-0.01539600092756683,17.32466420983579,-40.95951646990557
1754.049328180301,-0.03109888521508503,17.18052199052622,-42.44365344723639
1856.528423440887,-0.04694786057343717,17.01427238036343,-44.545587422013
