#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321ABE52A
#Date Time: 2021-12-09 11:46:39.831
#Sample rate: 1.5873e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 1 V/div Offset: 9.7 V Attenuation: 1 X
#Wavegen Channel 1: Enabled
#Mode: Simple
#Type: Square
#Frequency: 1 kHz
#Amplitude: 500 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.002580229899497488,0.4363043295724391,-9.912931850904341
-0.002579599899497488,0.4325701060930267,-10.04343689853403
-0.002578969899497488,0.4288358826136107,-10.18139937745696
-0.002578339899497488,0.425101659134193,-10.30817570944019
-0.002577709899497488,0.4176332121753679,-10.41630846319051
-0.002577079899497488,0.4176332121753679,-10.51698378564774
-0.002576449899497488,0.4213674356547805,-10.59528681422555
-0.002575819899497488,0.4251016591341964,-10.66240369586374
-0.002575189899497488,0.4251016591341964,-10.71833443056221
-0.002574559899497488,0.4251016591341964,-10.75935030267439
-0.002573929899497488,0.4213674356547822,-10.78545131220036
-0.002573299899497488,0.4213674356547822,-10.80409489043318
-0.002572669899497488,0.4213674356547822,-10.80036617478662
-0.002572039899497488,0.4176332121753679,-10.78918002784692
-0.002571409899497488,0.4251016591341964,-10.75189287138126
-0.002570779899497488,0.4251016591341964,-10.71087699926908
-0.002570149899497488,0.4251016591341964,-10.65867498021718
-0.002569519899497488,0.4251016591341964,-10.61765910810499
-0.002568889899497488,0.4251016591341964,-10.55054222646682
-0.002568259899497488,0.4288358826136124,-10.51698378564771
-0.002567629899497488,0.4325701060930249,-10.46105305094928
-0.002566999899497488,0.4325701060930249,-10.40885103189738
-0.002566369899497488,0.4288358826136073,-10.34919158155233
-0.002565739899497488,0.4213674356547822,-10.29698956250045
-0.002565109899497488,0.4288358826136107,-10.24478754344855
-0.002564479899497488,0.4325701060930232,-10.19631424004324
-0.002563849899497488,0.4325701060930249,-10.14038350534476
-0.002563219899497488,0.4325701060930232,-10.0919102019394
-0.002562589899497488,0.4288358826136107,-10.03970818288752
-0.002561959899497488,0.4363043295724391,-9.991234879482189
-0.002561329899497488,0.4363043295724374,-9.93903286043027
-0.002560699899497488,0.4325701060930249,-9.89428827267152
-0.002560069899497488,0.4288358826136107,-9.968862585602803
-0.002559439899497488,0.4213674356547856,-10.09936763323249
-0.002558809899497488,0.4213674356547822,-10.23733011215542
-0.002558179899497488,0.4213674356547822,-10.34546286590579
-0.002557549899497488,0.4176332121753679,-10.46478176659584
-0.002556919899497488,0.4176332121753679,-10.55054222646682
-0.002556289899497488,0.4213674356547788,-10.62884525504469
-0.002555659899497488,0.4138989886959537,-10.68477598974313
-0.002555029899497488,0.4138989886959537,-10.74443544008815
-0.002554399899497488,0.4138989886959537,-10.77053644961409
-0.002553769899497488,0.4101647652165394,-10.79663745914005
-0.002553139899497488,0.4101647652165394,-10.80036617478662
-0.002552509899497488,0.4138989886959537,-10.79290874349349
-0.002551879899497488,0.4101647652165394,-10.7817225965538
-0.002551249899497488,0.4101647652165412,-10.74070672444157
-0.002550619899497488,0.4138989886959537,-10.69969085232938
-0.002549989899497488,0.4138989886959537,-10.64376011763092
-0.002549359899497488,0.4213674356547788,-10.59528681422561
-0.002548729899497488,0.4251016591341964,-10.53562736388056
-0.002548099899497488,0.4213674356547822,-10.49834020741492
-0.002547469899497488,0.4213674356547822,-10.44613818836304
-0.002546839899497488,0.4213674356547822,-10.39393616931112
-0.002546209899497488,0.4251016591341947,-10.33800543461263
-0.002545579899497488,0.4213674356547822,-10.28580341556076
-0.002544949899497488,0.4213674356547822,-10.22614396521573
-0.002544319899497488,0.4213674356547822,-10.17021323051729
-0.002543689899497488,0.4251016591341964,-10.11801121146537
-0.002543059899497488,0.4288358826136107,-10.06953790806004
-0.002542429899497488,0.4288358826136107,-10.01733588900816
-0.002541799899497488,0.4288358826136107,-9.968862585602803
-0.002541169899497488,0.4288358826136089,-9.912931850904338
-0.002540539899497488,0.4251016591341964,-9.905474419611211
-0.002539909899497488,0.4251016591341964,-10.0210646046547
-0.002539279899497488,0.4251016591341964,-10.15902708357751
-0.002538649899497488,0.4251016591341964,-10.29698956250045
-0.002538019899497488,0.4138989886959537,-10.39766488495768
-0.002537389899497488,0.4101647652165412,-10.50206892306143
-0.002536759899497488,0.4101647652165394,-10.58782938293246
-0.002536129899497488,0.4101647652165412,-10.66240369586377
-0.002535499899497488,0.4138989886959537,-10.71833443056221
-0.002534869899497488,0.4101647652165394,-10.76680773396754
-0.002534239899497488,0.4138989886959519,-10.78545131220037
-0.002533609899497488,0.4101647652165394,-10.80782360607975
-0.002532979899497488,0.4101647652165394,-10.80409489043318
-0.002532349899497488,0.4064305417371269,-10.79663745914006
-0.002531719899497488,0.4064305417371252,-10.76680773396754
-0.002531089899497488,0.4064305417371252,-10.72952057750187
-0.002530459899497488,0.4064305417371252,-10.67731855845
-0.002529829899497488,0.4101647652165394,-10.63257397069123
-0.002529199899497488,0.4138989886959554,-10.57664323599275
-0.002528569899497488,0.4176332121753679,-10.531898648234
-0.002527939899497488,0.4176332121753679,-10.4796966291821
-0.002527309899497488,0.4176332121753679,-10.43122332577678
-0.002526679899497488,0.4176332121753679,-10.3752925910783
-0.002526049899497488,0.4176332121753679,-10.31936185637984
