#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2NI
#Serial Number: SN:210321ABE52A
#Date Time: 2021-12-09 11:32:27.310
#Start: 100 Hz
#Stop: 50000 Hz
#Steps: 151
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 61.1815 V
#Offset: -0.00313441 V
#Relative: no
#Channel: Channel 2
#Range: 61.0913 V
#Offset: 0.00303711 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (*)
100.0000000000001,-34.11565047316222,33.6343072505078,-89.07361589991348
104.2300949424216,-33.1576724410474,32.69144711679492,-85.2209590497842
108.6391269170621,-32.18685537034634,31.71465790709626,-92.63613769749779
113.2346651302716,-33.03233448841635,32.56240174343884,-88.5971024447004
118.0245989730151,-32.7199776647216,32.26025792168244,-84.74130558458114
123.0171515649861,-32.02258061769022,31.5526509748312,-88.86527539968959
128.2208938716475,-31.5978520470067,31.12173070187848,-87.59915706503691
133.6447594184397,-31.89348356347144,31.4523745908191,-87.89150919368836
139.2980596274105,-30.94889383890198,30.48622818325989,-87.26667891710962
145.1904998026008,-30.40328747730191,29.94834735877285,-86.15918889384913
151.3321957916271,-30.08742163898093,29.61094775001354,-88.51468254363688
157.7336913520643,-29.83291848894204,29.36110620355258,-87.81709895664056
164.4059762524425,-29.71291699611039,29.23367793668996,-86.26445688724124
171.360505138936,-29.01822376708456,28.56509512072373,-89.55652823505956
178.609217200126,-28.8632212013061,28.40059260697535,-90.34591111758212
186.1645566636072,-28.30624532352642,27.85062957325444,-90.26206662614166
194.0394941596158,-28.10497007784114,27.6287369188676,-87.00678002363907
202.247548988362,-27.62086490648453,27.17089813641512,-87.97091332818252
210.8028123292901,-27.21922160295518,26.74210007265266,-88.49354733835116
219.7199714321139,-27.05038356720513,26.57837140580746,-87.95619450565721
229.0143348311534,-26.60005896300771,26.12873779362019,-88.95379371263596
238.7018586262665,-26.02666521652513,25.55797207439215,-88.74615760944445
248.7991738754823,-25.91025240329988,25.4395863009486,-91.59268497799209
259.3236151463755,-25.91484281562684,25.42286151357985,-87.95308336518622
270.2932502751869,-25.3119678028194,24.82406515303082,-91.84536424113082
281.7269113847843,-24.60484605954395,24.12529848133086,-86.91106535387486
293.6442272147124,-24.58405343921621,24.11686811244781,-88.26149666902769
306.0656568188346,-24.27508812840102,23.80191234005061,-88.91569918646843
319.0125246884172,-23.90589348573475,23.42000345093608,-88.74898103834937
332.5070573609534,-23.25790518544832,22.76493505504725,-88.34597830770099
346.5724215775736,-22.89370349664472,22.38985542880937,-87.25228390219218
361.2327640545542,-22.78586985493422,22.29024836221122,-85.8512096955439
376.5132529371953,-22.32439438184797,21.81988229560586,-89.43070228742243
392.4401210072382,-21.94194673166401,21.44452410471372,-90.16864343803593
409.0407107179982,-21.74720288658548,21.23689064641857,-86.62342941370139
426.3435211345256,-21.51473806656791,21.01737120381525,-88.19903157801809
444.3782568593789,-20.91210988167329,20.3941533992602,-88.21556035892743
463.1758790280082,-20.66614335890172,20.14049374195515,-88.13868823604452
482.7686584612883,-20.15202939630384,19.62192838821421,-87.06550743414064
503.1902310664553,-19.9996232629803,19.47582951164051,-86.76571301273009
524.4756555815562,-19.60288776789338,19.05069845700917,-87.81976965156609
546.6614737625438,-19.32337198719011,18.80801227050581,-86.51163431116804
569.7857731163404,-18.93179823604877,18.37135118821109,-86.77546432165499
593.8882522875714,-18.54948875854137,17.99132530735064,-86.91892409810552
619.0102892112237,-18.29830997312248,17.71308322587038,-89.13166991375441
645.1950121482167,-18.11681900616414,17.54421728806626,-87.20702717604263
672.4873737258538,-17.50630773765628,16.9196231448098,-88.02168565776283
700.9342281102546,-17.46508374364422,16.86395440491499,-87.39935800640626
730.584411443248,-17.02151280985776,16.41866386030794,-86.70606799614559
761.4888256818282,-16.92151620384781,16.33965686156759,-86.89823015655335
793.7005259841002,-16.3283561528857,15.70308719029016,-87.3289111790001
827.2748117917272,-16.11187709691042,15.5014657786453,-86.55343142099079
862.2693217652554,-15.80944566118293,15.16859683268233,-87.9617816050712
898.7441327352996,-15.4140069792346,14.7701400833687,-86.0945120636823
936.7618628394459,-15.12053405914033,14.42952295358105,-86.99317335688119
976.3877790219507,-14.78004818558781,14.11644659935877,-86.42396708232225
1017.68990908078,-14.61653414740399,13.92246671504034,-86.85438994105573
1060.73915845434,-14.17830841090802,13.44992994172858,-87.14180260505599
1105.609431948401,-13.80094013872004,13.05818272359138,-88.00688158483052
1152.377760612186,-13.682738012314,12.95204731844199,-87.48721117727814
1201.124433981432,-13.32326380563691,12.57504602016327,-86.22539020739183
1251.93313791547,-12.79460537490518,12.01179981265794,-86.94797316151724
1304.891098264931,-12.74523038851318,11.94764754915326,-87.12853894993854
1360.089230616743,-12.33626251465762,11.53810573501821,-86.7410169080587
1417.622296373483,-12.02888885436951,11.19124469351688,-86.7642112982157
1477.589065435017,-11.77762270981863,10.94408790735456,-87.45057392185655
1540.092485761756,-11.38404933463914,10.5717442169473,-87.37465327689598
1605.239860110578,-11.31206963220239,10.43870055023369,-88.7888971254156
1673.14303024685,-11.00031234670024,10.08542897482823,-88.85181480757109
1743.918568948799,-10.64818221891847,9.732622887722187,-88.42454145332036
1817.687980133853,-10.31797742175369,9.379071579384599,-89.11017866367064
1894.577907450499,-10.06464624256186,9.13874703049275,-88.21061736962227
1974.720351693797,-9.765243581942284,8.826577706423281,-88.82256785697166
2058.252897417765,-9.477840965720548,8.489146977478759,-90.16197962301028
2145.318949133678,-9.197856034385616,8.241124562441577,-90.11251830535264
2236.067977499791,-8.869025207949019,7.908055897213499,-90.88438036870662
2330.655775925117,-8.62323974648881,7.61642548983702,-91.13856495781764
2429.244728027779,-8.350364677062514,7.365496632327603,-92.35092388999743
2532.004086407124,-8.00642498082582,6.931527124212348,-92.38545594449984
2639.110263208136,-7.784841345094526,6.739775723291697,-92.5023689162179
2750.747132977031,-7.416130854475772,6.366493711501739,-93.14476093349357
2867.106348327898,-7.230670653983822,6.19187405446196,-94.44615791930067
2988.38766896236,-6.911334831184488,5.842020075394942,-94.49924859231201
3114.799304607086,-6.612146461376475,5.579160640764633,-95.14130526666759
3246.558272457852,-6.191952087108763,5.137218050163144,-95.89094049896202
3383.890769743857,-5.9806112034366,4.827823851661265,-97.08670845507756
3527.032562051862,-5.631377784491494,4.59042807990165,-98.19267474682863
3676.229388076776,-5.447707081854748,4.374552956305403,-98.70841126410224
