#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A18885
#Date Time: 2021-12-02 10:56:32.289
#Start: 100 Hz
#Stop: 50000 Hz
#Steps: 151
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 2
#Range: 60.4918 V
#Offset: -0.00337698 V
#Relative: yes

Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (*)
100.0000000000001,34.92597032548414,-88.40827530968772
104.2300949424216,36.37662260161528,-84.91263126646049
108.6391269170621,34.56845514020191,-87.14175814575768
113.2346651302716,35.23486005911329,-94.26355906891416
118.0245989730151,35.08697785336849,-89.1092673413209
123.0171515649861,35.33420758871689,-96.04673770793528
128.2208938716475,33.89820295934573,-93.20023628879545
133.6447594184397,34.50478164341551,-95.96709904511749
139.2980596274105,33.90570501819742,-101.6507750244379
145.1904998026008,33.22637669277128,-87.51896277445429
151.3321957916271,32.41779996845579,-91.86355419046474
157.7336913520643,31.76570055076342,-90.97126250833162
164.4059762524425,32.58112423602454,-92.99630259604135
171.360505138936,32.256216033184,-85.91001287269577
178.609217200126,30.77916360299306,-94.09229130130879
186.1645566636072,30.70100036370952,-91.1947430298698
194.0394941596158,30.46529314526132,-100.2188077997641
202.247548988362,31.70636527319674,-90.42132392547016
210.8028123292901,29.2253450123668,-89.4081906246691
219.7199714321139,29.76111945791285,-94.97415342364873
229.0143348311534,29.45149008966557,-102.1619075709719
238.7018586262665,28.92671410554671,-94.00956673851776
248.7991738754823,28.55743876929887,-93.08705653915108
259.3236151463755,27.80892994192241,-97.71683766720349
270.2932502751869,27.38381162777307,-94.48229708443893
281.7269113847843,27.19410401447723,-92.77065947224627
293.6442272147124,27.76470008954337,-94.0913931650865
306.0656568188346,26.69914050630175,-91.35257477189829
319.0125246884172,26.32901037390204,-96.36200864019673
332.5070573609534,25.40089660916141,-97.41079736220904
346.5724215775736,25.38967424251593,-93.21357223458611
361.2327640545542,24.50649200925428,-97.47204257860309
376.5132529371953,24.64250731351968,-98.64227942958337
392.4401210072382,24.05315646191534,-95.58932216391624
409.0407107179982,24.16264291723466,-101.0192359699305
426.3435211345256,23.55311488044474,-99.56009093854311
444.3782568593789,22.77391787200257,-98.94004531544866
463.1758790280082,22.64684193263269,-101.8181133291886
482.7686584612883,22.60642401625275,-97.02933785963302
503.1902310664553,21.84842316691232,-101.0061203067693
524.4756555815562,21.59456787484175,-101.2272314451022
546.6614737625438,21.3671681322854,-100.9424430887186
569.7857731163404,20.96415673614309,-101.4469674260075
593.8882522875714,20.2512107664003,-104.7216654328107
619.0102892112237,20.31478805807678,-101.7557793297604
645.1950121482167,19.97917864136226,-100.9748257876901
672.4873737258538,19.39970865438997,-100.8686853656531
700.9342281102546,18.91432792206579,-102.6199612393188
730.584411443248,18.60641416106999,-106.3436612682879
761.4888256818282,18.17759244680331,-104.8491207675346
793.7005259841002,17.61735437626303,-107.2323893258075
827.2748117917272,17.55870320666132,-106.6172365433776
862.2693217652554,17.25223606254718,-108.7669564467503
898.7441327352996,16.59094033114124,-108.2890556135726
936.7618628394459,16.22290806239886,-108.7272493627757
976.3877790219507,16.0036435138993,-110.1688546879948
1017.68990908078,15.4583874674009,-109.0060621011402
1060.73915845434,14.99055544526065,-111.2568000702596
1105.609431948401,14.71772704206613,-112.7260196468084
1152.377760612186,14.30258340189026,-112.7022094828308
1201.124433981432,13.74133022564286,-112.8235802038888
1251.93313791547,13.39345061966211,-114.4274001780709
1304.891098264931,12.8981131316741,-114.4353747052956
1360.089230616743,12.70545855512409,-117.216699833187
1417.622296373483,12.13371121007572,-116.8419895318352
1477.589065435017,11.7302631099429,-116.2925355912097
1540.092485761756,11.24751887954805,-118.5897189494183
1605.239860110578,10.77868835786396,-118.8372652906874
1673.14303024685,10.23542833812968,-121.333329457452
1743.918568948799,9.827604318346854,-120.9273525963951
1817.687980133853,9.339558040912554,-122.560643842497
1894.577907450499,8.834952412722929,-123.1157351723214
1974.720351693797,8.472988066808806,-124.0478215480002
2058.252897417765,7.910949776207243,-125.6119949576834
2145.318949133678,7.421212960672222,-126.6484359638743
2236.067977499791,6.896463183468117,-127.0132563508405
2330.655775925117,6.427473731308616,-128.4302313491354
2429.244728027779,5.964902071330263,-129.3579366151287
2532.004086407124,5.350408546505637,-130.8278399586642
2639.110263208136,4.867319031674933,-132.0261934661847
2750.747132977031,4.432238260458425,-133.0513162000266
2867.106348327898,3.85539227950914,-133.8729883560713
2988.38766896236,3.335219354927224,-134.484270880514
3114.799304607086,2.763544381615999,-135.2415514985353
3246.558272457852,2.261410667503231,-136.3845213843887
3383.890769743857,1.709886599478911,-137.4527148249024
3527.032562051862,1.160273229833664,-138.2040171407449
3676.229388076776,0.6441538188476881,-139.4301771612099
3831.737381493625,0.0683561591379046,-140.2329820575276
3993.823510675062,-0.4977451083698852,-141.045890696539
4162.766037009368,-1.026983728025815,-141.5683235899687
4338.854992605741,-1.6152814853912,-142.6520741437283
4522.392678206958,-2.088732571014791,-143.5219407732879
4713.694182164233,-2.623156728233249,-144.1439648318093
4913.087921365179,-3.169579542435971,-145.0024497802788
5120.916205043567,-3.717927619396218,-145.7086109852501
5337.53582243876,-4.242131723203425,-146.5880931815348
5563.318655313677,-4.831139137130605,-147.4670842922289
5798.652316382892,-5.349885912054276,-148.4497843737232
6043.940814746816,-5.880322242463004,-149.0600111292426
6299.605249474367,-6.44535997016065,-149.6448324691667
6566.084532524903,-6.791727422357862,-150.6909141541869
