#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A18885
#Date Time: 2021-12-02 11:30:20.134
#Start: 100 Hz
#Stop: 1.79e+06 Hz
#Steps: 151
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 2
#Range: 60.4918 V
#Offset: -0.00337698 V
#Relative: yes

Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (*)
664.0767151994173,-0.03435930170613783,-6.007703024499136
708.8765439453736,-0.03392621398185373,-6.420434821928779
756.6986510060647,-0.02822272725427772,-7.017485085950767
807.7469247995343,0.03228474107899632,-7.36337812563356
862.2390084290971,0.06048222387760206,-8.111846805284642
920.4072275995396,0.0977565914443761,-8.398812575236263
982.4995811322459,0.1145056121606054,-9.074460384126091
1048.780798302284,0.2100276139447677,-9.636958941326419
1119.533467505392,0.2902323847171025,-10.9555623461296
1195.05924106688,0.3336414466471965,-11.27864210673511
1275.680121329173,0.3663755614987405,-12.20856000961197
1361.73983350114,0.4431682952447864,-13.09714393734731
1453.605291122372,0.5421460238139644,-14.32470558206694
1551.668160390336,0.6551300040933179,-15.51092861715675
1656.346530019913,0.7162880208760449,-16.46758219951077
1768.086693754713,0.865693340598625,-18.32104812028071
1887.36505312985,1.012906208378015,-19.94199999003297
2014.69014859857,1.19957273516945,-21.85210649293269
2150.604827682415,1.362143510697061,-23.72220261215503
2295.688559388726,1.550707330246677,-26.51376351006391
2450.559904763006,1.776868742804481,-29.13941611013028
2615.879154109251,2.019751611252512,-32.23795493771718
2792.351142121997,2.215074997711803,-36.23829408623176
2980.728252932267,2.446027531913077,-40.07255473177575
3181.813627879496,2.695051325752571,-45.28533498591389
3396.46458968554,2.917552461211354,-51.2530450351661
3625.596297629741,3.089271886499241,-58.08712797235967
3870.185649308802,2.997597286388253,-65.5879049984224
4131.275445616489,2.932893963923374,-73.71284379817183
4409.978836700481,2.55539072502117,-82.04858233797748
4707.484067851592,2.167140264165268,-91.04420288957012
5025.059545559378,1.471712251717848,-99.68167491047961
5364.059245333056,0.6695242641419434,-107.1938716913497
5725.928484343977,-0.2158653404068569,-114.7527570109728
6112.210083501044,-1.166788906756598,-121.8137388238003
6524.550945231055,-2.308525319294857,-127.3958956737914
6964.709075008039,-3.345822524088005,-132.8146590368195
7434.561076567935,-4.250414640736224,-136.9559765288722
7936.110152764018,-5.496197925580725,-141.5713459655572
8471.494646174713,-6.303471168403807,-144.5946727375883
9042.99715587639,-7.218087396425633,-147.7247715227633
9653.054269250379,-8.145472631807456,-153.6860550483551
10304.26695031537,-9.072953290736329,-155.2150716854612
10999.41162887577,-9.877593624660609,-159.4940763133114
11741.45203776428,-10.87729743338733,-162.8338482172069
12533.55184864645,-11.53838597286828,-166.535971336304
13379.08816025965,-12.5064948059443,-169.5904174678616
14281.66589659348,-13.1647635916024,-171.3715129092232
15245.13317639746,-14.24747461654467,-176.1005946835826
16273.59771954413,-15.0072518181645,179.8721177197413
17371.44436019502,-15.69255994237434,178.2549094521008
18543.35374143715,-16.70250614456532,173.1587494128691
19794.32227109358,-17.11993339853366,170.9121196755225
21129.68342378957,-17.58730393339634,168.1937776183121
22555.1304800951,-17.01645856611826,164.5612850910005
24076.74079969129,-24.73768229796275,122.8097376608404
25701.00173204915,-13.87158665140384,166.1468233535514
27434.83827509008,-20.07258250168059,156.6842728298371
29285.64259975001,-20.49679045676596,148.1147704909745
31261.30556632476,-19.49865186854639,146.6292778019937
33370.25036696548,-21.34342524427591,136.3496109681997
35621.46843775841,-19.88174211905042,134.3265296901926
38024.55779349928,-21.731451730583,115.3986762683079
40589.76394860131,-14.82783504997423,-68.99285003821529
